,nav
2025-05-04 18:00:00+00:00,10510.423011858935
2025-05-04 19:00:00+00:00,10513.058642475216
2025-05-04 20:00:00+00:00,10515.386362873276
2025-05-04 21:00:00+00:00,10515.332865999475
2025-05-04 22:00:00+00:00,10503.57702904644
2025-05-04 23:00:00+00:00,10490.474876561566
2025-05-05 00:00:00+00:00,10498.617585864191
2025-05-05 01:00:00+00:00,10484.917939327852
2025-05-05 02:00:00+00:00,10490.246874771969
2025-05-05 03:00:00+00:00,10486.921444415171
2025-05-05 04:00:00+00:00,10493.25267141427
2025-05-05 05:00:00+00:00,10497.278277479549
2025-05-05 06:00:00+00:00,10499.20308691372
2025-05-05 07:00:00+00:00,10498.603167311303
2025-05-05 08:00:00+00:00,10495.656392408862
2025-05-05 09:00:00+00:00,10495.82928029069
2025-05-05 10:00:00+00:00,10488.306703515093
2025-05-05 11:00:00+00:00,10487.668109850256
2025-05-05 12:00:00+00:00,10491.76270936487
2025-05-05 13:00:00+00:00,10488.048651844241
2025-05-05 14:00:00+00:00,10484.071017786704
2025-05-05 15:00:00+00:00,10480.938283977852
2025-05-05 16:00:00+00:00,10489.373945934489
2025-05-05 17:00:00+00:00,10494.7480235769
2025-05-05 18:00:00+00:00,10498.494421776903
2025-05-05 19:00:00+00:00,10492.304954755733
2025-05-05 20:00:00+00:00,10490.034504310735
2025-05-05 21:00:00+00:00,10497.907438446235
2025-05-05 22:00:00+00:00,10503.979266246175
2025-05-05 23:00:00+00:00,10498.915389620108
2025-05-06 00:00:00+00:00,10495.724577341212
2025-05-06 01:00:00+00:00,10492.035853352761
2025-05-06 02:00:00+00:00,10491.086115401766
2025-05-06 03:00:00+00:00,10493.890591314954
2025-05-06 04:00:00+00:00,10495.493341483676
2025-05-06 05:00:00+00:00,10491.509239290262
2025-05-06 06:00:00+00:00,10493.66339804234
2025-05-06 07:00:00+00:00,10493.110237672186
2025-05-06 08:00:00+00:00,10491.344032319786
2025-05-06 09:00:00+00:00,10489.173972733683
2025-05-06 10:00:00+00:00,10484.377176218126
2025-05-06 11:00:00+00:00,10482.50707643323
2025-05-06 12:00:00+00:00,10484.839513180366
2025-05-06 13:00:00+00:00,10479.505457128682
2025-05-06 14:00:00+00:00,10488.698699499691
2025-05-06 15:00:00+00:00,10495.597640174663
2025-05-06 16:00:00+00:00,10490.520692524015
2025-05-06 17:00:00+00:00,10495.133820931285
2025-05-06 18:00:00+00:00,10504.059713686122
2025-05-06 19:00:00+00:00,10502.314395022486
2025-05-06 20:00:00+00:00,10498.36115122731
2025-05-06 21:00:00+00:00,10497.533229835293
2025-05-06 22:00:00+00:00,10525.28759661695
2025-05-06 23:00:00+00:00,10534.905310404765
2025-05-07 00:00:00+00:00,10543.650095355099
2025-05-07 01:00:00+00:00,10541.50658207665
2025-05-07 02:00:00+00:00,10531.249600859845
2025-05-07 03:00:00+00:00,10529.055016258548
2025-05-07 04:00:00+00:00,10529.912179014831
2025-05-07 05:00:00+00:00,10526.972411259589
2025-05-07 06:00:00+00:00,10529.944789199868
